,Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
28,Terengganu,exact,A,5.0,103.0,11.0,78.46180953138773
29,Laurentian,exact,P,46.59111,-81.00722,3.0,39.02441244144802
30,Tien Giang province,Tien,A,11.43928,104.85711,9.0,39.49719891698126
31,United Sates,exact,A,39.76,-98.5,16.0,26.686782395260543
32,Pitcairn Islands,exact,T,-25.07075,-130.10834,12.0,61.87741173515803
33,Bootless Bay,Bay,A,3.0,43.5,17.0,55.59746332227936
34,Somerset Long Bay,Somerset,P,40.4976,-74.48849,3.0,1.0091514979916762
35,Rembang Regency,exact,A,-6.78333,111.46667,11.0,31.719201147147828
36,Jember,exact,P,-8.17211,113.69953,11.0,42.558345803087086
37,California Current Large Marine Ecosystem,California,A,13.4375,-88.46356,9.0,7.989095958058082
38,Beilun Estuary,Beilun,P,21.74093,107.80332,9.0,41.241137443967254
39,Gulf Gabes,Gulf Province,A,-7.7246,145.08545,11.0,52.06974232846808
40,Libong Island,exact,T,7.24688,99.39108,17.0,30.60141891292801
41,Canary Island,exact,P,-35.99171,143.843,19.0,62.83008193753425
42,Huangshui River Basin,Huangshui,P,29.05133,120.79827,9.0,57.67090428322267
43,Orange County,exact,A,36.0613,-79.1206,3.0,59.465644959111394
44,Agadir,exact,P,30.42018,-9.59815,3.0,12.933550052429103
45,Koblenz,exact,P,50.35357,7.57883,3.0,17.213232809794498
46,Bering Strait,exact,H,65.94199,-168.87909,21.0,52.113540964099194
47,Narmada estuary,Narmada,A,21.87377,73.49527,15.0,41.56420109164905
48,Flexeira,exact,A,-9.20061,-35.78,5.0,45.29943876480762
49,Northern Dvina River,exact,H,64.53176,40.49389,3.0,3.5436284124410027
50,Cape Floral Kingdom,Cope,L,-39.07665,-72.66747,13.0,49.23128961361616
51,Sines,exact,A,37.95359,-8.87117,3.0,60.07893753112857
52,Tohuku,exact,L,39.0,141.0,9.0,70.31861610515948
53,Kunhar River,exact,H,34.28992,73.47709,15.0,23.454219417653253
54,Henderson,exact,A,-36.88333,174.63333,13.0,44.2511133938904
55,Bergen,exact,P,60.39299,5.32415,3.0,15.31674186275316
56,Song Hong,exact,L,29.5004,86.4103,15.0,8.6811852399603
57,Peel,exact,A,54.22175,-4.68794,3.0,33.249887937001205
58,Kuala Terengganu,exact,P,5.3302,103.1408,11.0,44.017956454905566
59,Niterói,exact,P,-22.88333,-43.10361,7.0,58.91051682107785
60,Auckland Islands,exact,T,-50.66667,166.5,20.0,18.532858423848918
61,Field River,exact,H,-23.8,138.0,13.0,60.880515996123926
62,Paranaguá Estuarine Complex,Paranaguá,P,-25.51626,-48.52537,7.0,3.1227011458483784
63,Nanjishan,exact,P,31.21884,120.9616,9.0,53.837120588438495
64,Tyrrhenian sea,exact,H,40.0,12.0,10.0,42.59007199250243
65,North Sea,exact,P,40.93288,-72.41425,3.0,48.673570252140195
66,Rumahtiga,exact,P,-3.6609,128.18996,11.0,38.781159246367935
67,Dronning Maud Land,exact,L,-72.5,12.0,20.0,16.718431406303257
68,Jupiter,exact,P,26.93422,-80.09421,3.0,62.894263435983945
69,Adyar,exact,P,13.00444,80.25833,15.0,60.99673070360237
70,Honshu,exact,T,36.0,138.0,9.0,71.42360692649306
71,South Dongting Lake,exact,H,51.45029,-101.10369,3.0,27.998725195331936
72,Uscari,exact,P,44.60846,23.58824,22.0,13.940354802474989
73,MENA,exact,P,51.5217,32.21568,3.0,19.823465080621492
74,Lakes Victoria,exact,H,-33.98554,141.27056,19.0,58.00803990612682
75,Antarctic Ocean,exact,H,-60.0,90.0,20.0,62.06564062208868
76,Northwest Hawaiian Islands,exact,T,28.41667,-178.33333,8.0,18.743846830899837
77,Madeira archipelago,Madeira,A,32.76737,-16.94699,2.0,51.34058683456102
78,Ninh Thuan,exact,A,11.75,108.83333,9.0,45.724940728509836
79,Mindanao,exact,T,8.0,125.0,11.0,78.22077301701354
80,Kalim,exact,P,36.07559,53.0908,15.0,59.76819129700905
81,Galápagos Marine Reserve,Provincia de Galápagos,A,-0.67015,-90.87341,10.0,101.18332689511209
82,Tanzania,exact,A,-6.0,35.0,17.0,78.39324014078451
83,Geoje Island,exact,T,58.18358,-103.15087,3.0,40.65815155244206
84,Hammersmith,exact,P,42.46482,-71.01005,3.0,40.368059230316156
85,Ohori Tone-unga Rivers,Ōhori,P,35.33281,139.85596,22.0,22.715412580708115
86,Auroville,exact,P,12.00549,79.80885,15.0,64.419357349173
87,Mou,exact,L,-13.25651,-176.20026,12.0,42.242568688126205
88,Mantra,exact,L,35.30468,33.52408,22.0,21.82797714502181
89,Sassari,exact,P,40.72586,8.55552,22.0,25.54800344693515
90,Cikapundung River,exact,H,-6.86639,107.615,11.0,42.674443370789255
91,arctic,exact,L,75.58494,-43.94531,21.0,15.557355663974803
92,Dumai,exact,P,1.66711,101.44316,11.0,19.626477253453924
93,Central Italy,exact,L,42.83829,12.24145,22.0,43.14882258665451
94,mid,exact,H,36.03286,-114.72602,9.0,55.75609180785738
95,Sargasso,exact,P,12.1568,-5.62313,3.0,40.43828206524381
96,Sapodilla Cayes,exact,T,16.1,-88.25,3.0,51.86696100516428
97,Kota Pariaman,exact,A,-0.62682,100.12047,17.0,105.8651578938016
98,Danube Delta,exact,T,45.5,29.41667,23.0,6.494536102654014
99,Khwae Noi,Noi,L,8.07836,28.58349,17.0,47.77578433917134
100,Caribbean Coast,Caribbean,L,20.38583,-72.33398,3.0,21.45658334001336
101,Lisbon,exact,P,38.71667,-9.13333,2.0,39.94407781080819
102,Mae Klong River basin,Mae,P,47.11736,-119.39558,9.0,43.269856650970084
103,EU,exact,P,50.04606,1.42079,3.0,50.788748762629645
104,Lower,exact,P,12.89931,121.45722,9.0,44.64308701748592
105,Pikku Vesijärvi pond,Pikku,P,37.80139,126.1425,9.0,45.97515189967003
106,Paphos District,exact,A,34.9,32.51667,22.0,44.5040700448736
107,LCA,exact,P,34.92291,33.6233,22.0,48.35712001708418
108,Tsushima,exact,P,35.16667,136.71667,9.0,41.95345412523494
109,arctic tundra,Arctic,L,75.58494,-43.94531,21.0,15.557355663974803
110,South Africa’s,exact,A,-29.0,24.0,19.0,73.7843224078488
